body_html,body_text,display_format,id,image_url1,image_url10,image_url11,image_url12,image_url13,image_url14,image_url15,image_url16,image_url17,image_url18,image_url19,image_url2,image_url20,image_url3,image_url4,image_url5,image_url6,image_url7,image_url8,image_url9,isActive,learn_more_link,name,page_categories,page_id,page_name,page_profile_picture_url,page_profile_uri,ppAudienceNetwork,ppFacebook,ppInstagram,ppMessenger,sponsored,startDate,video_url1,video_url10,video_url11,video_url12,video_url13,video_url14,video_url15,video_url2,video_url3,video_url4,video_url5,video_url6,video_url7,video_url8,video_url9
"The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT0wrwZqdY93QVHHCyWJ4gHLcHGiEGrDh0xUNaDOWVoyJJIi6AYGe5GcEHrIFGOxnT4E6WcfIet-ThET_PX_yqUzp14ZrEJ7WHPKLCSfVptMLSAMamjszsJACg2lI-PyVF194EapbZpMXLPrLSv5"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a> Shop now.","The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on
Nike.com.
Shop now.",video,966249187234439,,,,,,,,,,,,,,,,,,,,,True,https://www.nike.com/t/phantom-gt-academy-flyease-mg-multi-ground-soccer-cleat-k22R2s/DA2835-160,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,videos/129720940_141645300731614_8963633241334656864_n.mp4,,,,,,,,,,,,,,
"Unlock your skills in the new Phantom Scorpion Elite FG soccer cleat. Shop it on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT0EUmE2BZvrYnpYTla9_DVqMIjzIyKibOAlPL1bmRjni9RFcZVeSv80tjvjwjnVSzRXS2Q5PiOcf1PcKDrvCVeRVPQCu6RP-2X0e2Hfy1u1N8GWIOMGQZae_Xh64JpQodvBupH8oYuyRlPjIPLT"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a>","Unlock your skills in the new Phantom Scorpion Elite FG soccer cleat. Shop it on
Nike.com.",video,165842115239309,,,,,,,,,,,,,,,,,,,,,True,https://www.nike.com/t/phantom-scorpion-elite-fg-firm-ground-soccer-cleat-V7jrd0,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,videos/126098378_3210759105696069_259416311502355321_n.mp4,,,,,,,,,,,,,,
"The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT3iOsECeXPFrixufDMDZ0MTIw1AZttAlW6h2NWJiaH86auQkimSiCy0b4aHp8MMUkwlE85BC_3YRWNCkaItDAkydvSQlfYRPsq9Ua0AyDu-gs57-AXHsyTJogK_oSS78s1scyrck2BbpK1_7BM3"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a> Shop now.","The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on
Nike.com.
Shop now.",image,212597600429819,images/130265218_669350133703582_5938999869532057226_n.jpg,,,,,,,,,,,,,,,,,,,,True,https://www.nike.com/t/phantom-gt-academy-flyease-mg-multi-ground-soccer-cleat-k22R2s/DA2835-160,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,,,,,,,,,,,,,,,
"The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT0ysDVx3TSFiLy_NBYFVbzsXUoRZIndwub-eQt94kAB0M7KjbDFNRIbAGj5jrPiB2gd529gMkWx93YRxmStCBOPDHJGDEiIkx5lO81yntEAJINWn1MvojQVGKbBJiy9Ui9zQAd8HqMIxkUk-av1"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a> Shop now.","The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on
Nike.com.
Shop now.",image,3562958953795943,images/131331314_189784466137522_7835473609331062613_n.jpg,,,,,,,,,,,,,,,,,,,,True,https://fb.com/canvas_doc/3377095079066148,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,,,,,,,,,,,,,,,
"The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT3W-QzaHzP48hSuxTSPNhEn-YbTGBFPsHwqt6s5b2D4ec2GW1VOkVe24HI6mFdOS8S6Kfgv7DqbqTw1jAz_PUszG2ag33dCa2ve1prTURxURCrj6Dd_XX0mwoGuGei14r61N6ceSPcFuJrXRJZN"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a> Shop now.","The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on
Nike.com.
Shop now.",image,832555437597399,images/131411977_2801636693394462_744557819422142101_n.jpg,,,,,,,,,,,,,,,,,,,,True,https://www.nike.com/t/phantom-gt-academy-flyease-mg-multi-ground-soccer-cleat-k22R2s/DA2835-160,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,,,,,,,,,,,,,,,
"The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT09F6Z7wxgUmFHVj32QDUEARdGEbdd-lEpzi4oTROYJT-JnHQ6_J2U9bzpIOerx_-o89c6lNSMNuYJlVF5UJGA8H7UshBnsl5U4Vj3QCZaZjD4EUb6bQhyRoCir80MS1oruPHNFW7HbIvdCEA4g"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a> Shop now.","The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on
Nike.com.
Shop now.",video,242732910610278,,,,,,,,,,,,,,,,,,,,,True,https://www.nike.com/t/phantom-gt-academy-flyease-mg-multi-ground-soccer-cleat-k22R2s/DA2835-160,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,videos/128250999_208515197399537_1705516640757599020_n.mp4,,,,,,,,,,,,,,
"Aprovecha los Nike Days para conseguir el regalo perfecto con hasta el 50% de descuento. Visita nuestro Catálogo Digital, elige el artículo que vaya con sus objetivos y te lo llevamos a casa. Promoción válida del 16 de diciembre hasta agotar stock. No aplica con otras promociones. Encuentra los productos Nike con descuento aquí: <a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fcatalogodeportivo.com%2F&amp;h=AT18Oy-i40NWeJYQEM1wXNroz0eoqG_n2N0L6UMBef83SHIGj3v6R_KGmSk8kuRznFsbHkWsRaCvQw-GRSlFu8pnul6JRV3FMNVfTHTTYja5q6qtv9wNi6v3kGVdHIcjxldgk6Di2dqdEQjRFK6Q"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">https://catalogodeportivo.com/</a>","Aprovecha los Nike Days para conseguir el regalo perfecto con hasta el 50% de descuento. Visita nuestro Catálogo Digital, elige el artículo que vaya con sus objetivos y te lo llevamos a casa. Promoción válida del 16 de diciembre hasta agotar stock. No aplica con otras promociones. Encuentra los productos Nike con descuento aquí:
https://catalogodeportivo.com/",carousel,441919793477439,images/131535782_2512567965707803_2232502234748330948_n.jpg,,,,,,,,,,,images/130846126_889134728523567_6572190634413036230_n.jpg,,images/131361476_684194455609535_2424667702406540214_n.jpg,images/130941846_925511447981372_7025780409829376828_n.jpg,images/131756299_211618217245488_6643933823799369718_n.jpg,images/131658412_378632826772485_8526677842793658847_n.jpg,images/131081011_461009754911454_7332099387432285174_n.jpg,,,True,https://www.catalogodeportivo.com/,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,True,False,False,Sponsored,17/12/2020 @09:00AM,,,,,,,,,,,,,,,
"The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT0e5Bf-t5pp2lh30SzYppemx5aWIrMgbot6JSmHD6HeG9CihYIzCbjspcXZow0MuIlKxJIFqdMnwtHrPeRYIEkg5LjPwzqB7FZi8M9e0r6Wq6glZ8vGb47j4dVLzVVmI7ubmpoUslW8tRN8jUy8"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a> Shop now.","The easy-on, easy-off Phantom GT Academy FlyEase MG soccer cleat is on
Nike.com.
Shop now.",image,305528954101992,images/130170493_392111768764835_1763928023376606508_n.jpg,,,,,,,,,,,,,,,,,,,,True,https://fb.com/canvas_doc/228653518646651,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,,,,,,,,,,,,,,,
"Unlock your skills in the new Phantom Scorpion Elite FG soccer cleat. Shop it on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT0K0lkIuYeY56dy96Gu4ry1yAsNdVxX-NBzclD-xeZeVaHtLngg3RTuBgOv6EDjyWdcOEX9LMLROybv6JLsYOGSdeAQQH5Vdh29kGg95OjWkRAjGUilHyPbxvBcOd2S0JwaMqNQWW4k839lLpAs"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a>","Unlock your skills in the new Phantom Scorpion Elite FG soccer cleat. Shop it on
Nike.com.",image,988798221603581,images/131084211_297474511679979_1409284582607547471_n.jpg,,,,,,,,,,,,,,,,,,,,True,https://www.nike.com/t/phantom-scorpion-elite-fg-firm-ground-soccer-cleat-V7jrd0,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,,,,,,,,,,,,,,,
"Unlock your skills in the new Phantom Scorpion Elite FG soccer cleat. Shop it on <a href=""https://l.facebook.com/l.php?u=http%3A%2F%2FNike.com%2F&amp;h=AT0uuE44OqPBMrO3YNv5Mdqu5qfnH2fAG_G_QeV3TWB9I9dQiqahrPSy8Dfz17JWIiG-8JPM2kRRPyT-dkEfo4FyoVSF1uamOURHRJTk3h5R1u3rPcQKeBeB2kg8LDq-b-CPPTO_FvUMD6mHugrk"" rel=""nofollow noopener"" target=""_blank"" data-lynx-mode=""asynclazy"">Nike.com.</a>","Unlock your skills in the new Phantom Scorpion Elite FG soccer cleat. Shop it on
Nike.com.",image,1816960598459620,images/131111387_795968760981714_2386891531779243531_n.jpg,,,,,,,,,,,,,,,,,,,,True,https://fb.com/canvas_doc/435195321218582,,"Product/Service,Sporting Goods",51212153078,Nike Football,profile_pictures/51212153078.jpg,https://www.facebook.com/nikefootball/,False,False,True,False,Sponsored,15/12/2020 @09:00AM,,,,,,,,,,,,,,,
